att_x_corr,N,hypothesis,power,n_significant,n_valid,n_sims,alpha
0.4,120,H2_attestation:correctness,0.999,999,1000,1000,0.05
0.4,120,H4_attestation:correctness:stakes,0.073,73,1000,1000,0.05
0.4,140,H1_attestation,1.0,1000,1000,1000,0.05
0.4,140,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,140,H4_attestation:correctness:stakes,0.092,92,1000,1000,0.05
0.4,160,H1_attestation,1.0,1000,1000,1000,0.05
0.4,160,H2_attestation:correctness,0.999,999,1000,1000,0.05
0.4,160,H4_attestation:correctness:stakes,0.112,112,1000,1000,0.05
0.4,180,H1_attestation,1.0,1000,1000,1000,0.05
0.4,180,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,180,H4_attestation:correctness:stakes,0.116,116,1000,1000,0.05
0.4,200,H1_attestation,1.0,1000,1000,1000,0.05
0.4,200,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,200,H4_attestation:correctness:stakes,0.144,144,1000,1000,0.05
0.4,240,H1_attestation,1.0,1000,1000,1000,0.05
0.4,240,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,240,H4_attestation:correctness:stakes,0.193,193,1000,1000,0.05
0.4,280,H1_attestation,1.0,1000,1000,1000,0.05
0.4,280,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,280,H4_attestation:correctness:stakes,0.214,214,1000,1000,0.05
0.4,320,H1_attestation,1.0,1000,1000,1000,0.05
0.4,320,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,320,H4_attestation:correctness:stakes,0.256,256,1000,1000,0.05
0.4,400,H1_attestation,1.0,1000,1000,1000,0.05
0.4,400,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,400,H4_attestation:correctness:stakes,0.332,332,1000,1000,0.05
0.4,500,H1_attestation,1.0,1000,1000,1000,0.05
0.4,500,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.4,500,H4_attestation:correctness:stakes,0.439,439,1000,1000,0.05
