att_x_corr,N,hypothesis,power,n_significant,n_valid,n_sims,alpha
0.25,200,H4_attestation:correctness:stakes,0.172,172,1000,1000,0.05
0.25,240,H1_attestation,1.0,1000,1000,1000,0.05
0.25,240,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.25,240,H4_attestation:correctness:stakes,0.228,228,1000,1000,0.05
0.25,280,H1_attestation,1.0,1000,1000,1000,0.05
0.25,280,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.25,280,H4_attestation:correctness:stakes,0.277,277,1000,1000,0.05
0.25,320,H1_attestation,1.0,1000,1000,1000,0.05
0.25,320,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.25,320,H4_attestation:correctness:stakes,0.306,306,1000,1000,0.05
0.25,400,H1_attestation,1.0,1000,1000,1000,0.05
0.25,400,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.25,400,H4_attestation:correctness:stakes,0.401,401,1000,1000,0.05
0.25,500,H1_attestation,1.0,1000,1000,1000,0.05
0.25,500,H2_attestation:correctness,1.0,1000,1000,1000,0.05
0.25,500,H4_attestation:correctness:stakes,0.552,552,1000,1000,0.05
0.3,60,H1_attestation,1.0,1000,1000,1000,0.05
0.3,60,H2_attestation:correctness,0.887,887,1000,1000,0.05
0.3,60,H4_attestation:correctness:stakes,0.031,31,1000,1000,0.05
0.3,80,H1_attestation,1.0,1000,1000,1000,0.05
0.3,80,H2_attestation:correctness,0.954,954,1000,1000,0.05
0.3,80,H4_attestation:correctness:stakes,0.07,70,1000,1000,0.05
0.3,100,H1_attestation,1.0,1000,1000,1000,0.05
0.3,100,H2_attestation:correctness,0.992,992,1000,1000,0.05
0.3,100,H4_attestation:correctness:stakes,0.082,82,1000,1000,0.05
0.3,120,H1_attestation,1.0,1000,1000,1000,0.05
0.3,120,H2_attestation:correctness,0.995,995,1000,1000,0.05
0.3,120,H4_attestation:correctness:stakes,0.093,93,1000,1000,0.05
0.3,140,H1_attestation,1.0,1000,1000,1000,0.05
